line 0 prediction 0.492601
line 1 prediction 0.465775
line 3 prediction 0.475811
line 4 prediction 0.464075
line 5 prediction 0.499808
line 8 prediction 0.483932
line 9 prediction 0.499548
line 10 prediction 0.464602
line 11 prediction 0.476008
line 13 prediction 0.488639
line 14 prediction 0.498953
line 15 prediction 0.467730
line 16 prediction 0.477697
line 17 prediction 0.480408
line 18 prediction 0.485682
line 19 prediction 0.460038
line 20 prediction 0.488890
line 21 prediction 0.487988
line 22 prediction 0.470398
line 23 prediction 0.476337
line 25 prediction 0.490782
line 26 prediction nan
line 27 prediction 0.471842
line 28 prediction 0.447269
line 29 prediction 0.472195
line 30 prediction 0.496794
line 31 prediction 0.472264
line 34 prediction 0.495539
line 35 prediction 0.484815
line 37 prediction 0.496465
line 39 prediction 0.477442
line 40 prediction 0.485156
line 41 prediction 0.495737
line 42 prediction 0.469876
line 43 prediction 0.464728
line 44 prediction 0.479283
line 45 prediction 0.476815
line 46 prediction 0.440476
line 47 prediction 0.493427
line 48 prediction 0.481839
line 49 prediction 0.492904
line 51 prediction 0.475500
line 55 prediction 0.484952
line 57 prediction 0.480919
line 59 prediction 0.468884
line 60 prediction 0.498694
line 61 prediction 0.492118
line 65 prediction 0.469184
line 66 prediction 0.489499
line 67 prediction 0.495008
line 68 prediction 0.454115
line 69 prediction 0.492569
line 70 prediction 0.474629
line 71 prediction 0.474128
line 72 prediction 0.464504
line 73 prediction 0.476211
line 74 prediction 0.497238
line 75 prediction 0.481747
line 76 prediction 0.478159
line 77 prediction -0.000000
line 80 prediction 0.497087
line 82 prediction 0.492676
line 83 prediction 0.472965
line 85 prediction 0.470919
line 86 prediction 0.464351
line 87 prediction 0.478065
line 88 prediction 0.454115
line 89 prediction 0.443431
line 90 prediction 0.450085
line 91 prediction 0.495277
line 92 prediction 0.485114
line 93 prediction 0.485477
line 94 prediction 0.468782
line 95 prediction 0.493689
line 96 prediction 0.486730
line 97 prediction 0.492065
line 98 prediction 0.497172
line 99 prediction 0.474839
line 100 prediction 0.400855
